Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
both,Fiaschetteria Pistoia,647,Manhattan,10009,"647 East 11th street, Manhattan, NY",40.72672,-73.977678
both,Court Street Grocers,540,Manhattan,10012,"540 LaGuardia Place, Manhattan, NY",40.728655,-73.998463
sidewalk,Bread & Honey,941,Manhattan,10019,"941 8th Avenue, Manhattan, NY",40.76579,-73.983564
sidewalk,The wicked wolf,4029,Bronx,10465,"4029 east tremont ave, Bronx, NY",40.819592,-73.817547
sidewalk,Loretta’s Pizza & Hero’s Inc.,3276,Bronx,10465,"3276 Layton Ave , Bronx, NY",40.83558,-73.817922
both,Cremini's,521,Brooklyn,11231,"521 Court, Brooklyn, NY",,
roadway,baba cool,64,Brooklyn,11217,"64 LAFAYETTE AVE STE B, Brooklyn, NY",40.687102,-73.975365
sidewalk,Cantina 1838,1838,Manhattan,10026,"1838 1838 7th Ave New York, NY 10026, Manhattan, NY",,
both,The Exley,1,Brooklyn,11211,"1 Jackson Street, Brooklyn, NY",40.715983,-73.951813
both,Trionas Bar,237,Manhattan,10012,"237  sullivan street, Manhattan, NY",40.72975,-73.999614
sidewalk,Jubilee First Avenue Corporation,946948,Manhattan,10022,"946948 1st avenue, Manhattan, NY",,
both,Bean Post Pub,7525,Brooklyn,11209,"7525  5th avenue, Brooklyn, NY",40.629231,-74.022733
sidewalk,Gracie mews diner,1550,Manhattan,10028,"1550  1st avenue, Manhattan, NY",40.773447,-73.951866
both,RAMEN TAKUMI,1,Manhattan,10003,"1 UNIVERSITY PL, Manhattan, NY",40.730785,-73.995486
sidewalk,Anthony & Sal's Pizza Express,1809,Bronx,10461,"1809 Williamsbridge Rd, Bronx, NY",40.850705,-73.851692
sidewalk,KBBQ 162 CORP,41-22,Queens,11358,"41-22 162ND STREET, Queens, NY",40.76106,-73.803903
both,Lee's Tavern,60,Staten Island,10305,"60  Hancock St, Staten Island, NY",40.588851,-74.09534
sidewalk,Pescada,1776,Brooklyn,11230,"1776 Ocean Avenue, Brooklyn, NY",40.618987,-73.955129
both,Mizu Sushi,29 East,Manhattan,10003,"29 East 20 Street, Manhattan, NY",40.738963,-73.989243
both,Pine Box Rock Shop,12,Brooklyn,11206,"12 Grattan Street, Brooklyn, NY",40.70548,-73.932741
both,Summer Salt,30,Manhattan,10010,"30 East 23rd Street, Manhattan, NY",40.740706,-73.987615
sidewalk,SASABUNE EXPRESS NEW YORK,322,Manhattan,10022,"322  East 59th street, Manhattan, NY",40.760131,-73.963213
both,Pinky’s Space,70,Manhattan,10003,"70 E. 1st St. , Manhattan, NY",40.723414,-73.988773
both,Snafu,127,Manhattan,10017,"127  E 47th St, Manhattan, NY",40.754488,-73.973402
both,Parq Sports Bar and Grill,4001,Bronx,10465,"4001 East Tremont Ave, Bronx, NY",40.820375,-73.818011
both,Caffebene,39 W,Manhattan,10001,"39 W  32ND ST, Manhattan, NY",40.747653,-73.98665
both,Houseman,508,Manhattan,10013,"508  Greenwich Street, Manhattan, NY",40.725723,-74.009149
roadway,Fiaschetteria Pistoia,114/116,Manhattan,10014,"114/116  Christopher Street, Manhattan, NY",,
both,The Ceili House,6956,Queens,11378,"6956 Grand Avenuee, Queens, NY",,
sidewalk,Sushi Sennin,30,Manhattan,10016,"30 E 33rd St, Manhattan, NY",40.746983,-73.983193
both,Pies 'n' Thighs,166,Brooklyn,11211,"166 S 4th, Brooklyn, NY",,
sidewalk,Egidio Pastry Shop,622 east,Bronx,10458,"622 east  187th street (Corner of Hughes Avenue), Bronx, NY",40.855128,-73.886743
both,Five Boroughs Brewing Co.,215,Brooklyn,11220,"215 47th Street, Brooklyn, NY",40.65045,-74.014628
sidewalk,Sunflower cafe,1223,Brooklyn,11229,"1223 Quentin rd, Brooklyn, NY",40.607988,-73.960679
roadway,Eugene & Co,397,Brooklyn,11216,"397 Tompkins Avenue, Brooklyn, NY",40.683915,-73.944016
sidewalk,Die Stammkneipe - DSK Brooklyn,710,Brooklyn,11217,"710  Fulton Street, Brooklyn, NY",40.685965,-73.973599
roadway,Di An Di Restaurant,68,Brooklyn,11222,"68 Greenpoint, Brooklyn, NY",,
both,Estiatorio Milos,125,Manhattan,10019,"125 55th Street, Manhattan, NY",,
sidewalk,BUBBY'S,120,Manhattan,10013,"120 HUDSON ST, Manhattan, NY",40.719855,-74.00859
roadway,Barkogi,957,Manhattan,10022,"957  Second Ave, Manhattan, NY",40.755316,-73.968215
both,Halyards,406,Brooklyn,11215,"406 3rd. Ave, Brooklyn, NY",40.673185,-73.989596
both,Macoletta Brick Oven Pizzeria,28-15,Queens,11102,"28-15 24Th Avenue, Queens, NY",40.773359,-73.916895
both,Whiskey Trader,71,Manhattan,10019,"71  W 55th St, Manhattan, NY",40.762558,-73.977005
sidewalk,Morton’s The Steakhouse,136,Manhattan,10006,"136  Washington Street, Manhattan, NY",40.709657,-74.013844
both,Belle Reve,305,Manhattan,10013,"305 church street, Manhattan, NY",40.71955,-74.004297
both,Black Horse Pub,568,Brooklyn,11215,"568  5th ave, Brooklyn, NY",40.665058,-73.989749
both,Wayan,20,Manhattan,10012,"20 Spring St, Manhattan, NY",40.721441,-73.99505
both,The Double Windsor,210,Brooklyn,11215,"210 Prospect Park West, Brooklyn, NY",40.660462,-73.980335
both,Astoria Bier and Cheese-Ditmars,35-11,Queens,11105,"35-11 Ditmars Boulevard, Queens, NY",40.774755,-73.908737
both,Vekslers,521,Brooklyn,11231,"521  Hicks, Brooklyn, NY",,
both,Canary Club,303,Manhattan,10002,"303 Broome, Manhattan, NY",,
both,Porsena,21,Manhattan,10003,"21  East 7th street , Manhattan, NY",40.728492,-73.989302
both,Amarachi Restaurant,189,Brooklyn,11201,"189 Bridge Street, Brooklyn, NY",40.698176,-73.984958
sidewalk,Match 65,27 E,Manhattan,10065,"27 E 65TH STREET, Manhattan, NY",40.767255,-73.968441
both,Acento Latin Kitchen & Bar,33-06,Queens,11372,"33-06   Ditmars Blvd, Queens, NY",40.775285,-73.909517
sidewalk,Uncle Jacks Steakhouse,440,Manhattan,10001,"440  9th Ave , Manhattan, NY",40.753717,-73.996051
sidewalk,Iconyc Brewing Company,43-63,Queens,11101,"43-63 11th street, Queens, NY",40.750483,-73.948984
both,McSorley’s Old Ale House Inc.,15 E,Manhattan,10003,"15 E 7th St, Manhattan, NY",40.728591,-73.989537
